surface,path,placement,apple_provider_token,apple_campaign,primary_event,notes
homepage,/,hero,128406689,jacked_coach_home_hero,app_store_outbound_clicked,Existing homepage campaign
homepage,/,download,128406689,jacked_coach_home_download,app_store_outbound_clicked,Existing homepage campaign
homepage,/,final_cta,128406689,jacked_coach_home_final,app_store_outbound_clicked,Existing homepage campaign
site_header,sitewide,header,128406689,jacked_coach,app_store_outbound_clicked,Existing shared header campaign
landing,/workout-tracker,hero_or_final,128406689,seo_workout_tracker,app_store_outbound_clicked,Existing acquisition page campaign
landing,/gym-workout-planner,hero_or_final,128406689,seo_gym_workout_planner,app_store_outbound_clicked,Existing acquisition page campaign
landing,/progressive-overload,hero_or_final,128406689,seo_progressive_overload,app_store_outbound_clicked,Existing acquisition page campaign
landing,/hevy-alternative,hero_or_final,128406689,seo_hevy_alternative,app_store_outbound_clicked,Existing acquisition page campaign
landing,/strong-alternative,hero_or_final,128406689,seo_strong_alternative,app_store_outbound_clicked,Existing acquisition page campaign
landing,/fitnotes-alternative,hero_or_final,128406689,seo_fitnotes_alternative,app_store_outbound_clicked,Existing acquisition page campaign
tool,/tools/next-set-calculator,result_cta,128406689,next_set_calculator,app_store_outbound_clicked,Core tool campaign
tool,/tools/rir-calculator,result_cta,128406689,rir_calculator,app_store_outbound_clicked,Core tool campaign
tool,/tools/weekly-volume-checker,result_cta,128406689,weekly_volume_checker,app_store_outbound_clicked,Core tool campaign
tool,/tools/one-rep-max-calculator,result_cta,128406689,one_rep_max_calculator,app_store_outbound_clicked,Core tool campaign
tool,/tools/hevy-import-checker,result_cta,128406689,hevy_import_checker,app_store_outbound_clicked,Core tool campaign
tool,/tools/strong-csv-import-checker,result_cta,128406689,strong_csv_import_checker,app_store_outbound_clicked,Core tool campaign
tool,/tools/fitnotes-csv-import-checker,result_cta,128406689,fitnotes_csv_import_checker,app_store_outbound_clicked,Core tool campaign
tool,/tools/workout-csv-validator,result_cta,128406689,workout_csv_validator,app_store_outbound_clicked,Core tool campaign
blog,/blog/*,header_or_final,128406689,blog_workout_apps|blog_progression|blog_programming|blog_training,app_store_outbound_clicked,Intent-based campaign chosen by post metadata; validate resolved value
